R,G,B
142,55,26
144,56,27
144,56,25
142,56,26
144,55,25
144,57,26
144,55,27
142,54,23
145,55,26
142,55,26
142,55,26
143,56,26
142,56,26
142,55,25
143,55,26
144,57,27
141,53,24
143,55,26
142,55,24
143,55,25
145,56,28
142,55,25
143,55,25
142,56,26
144,58,27
145,56,26
143,55,26
141,58,27
143,55,24
143,55,24
142,54,26
143,55,26
142,54,24
143,56,28
141,54,25
141,55,25
143,56,25
144,57,25
141,57,24
141,55,26
142,56,26
143,55,26
144,56,26
143,56,26
143,56,26
145,55,26
140,52,22
141,54,22
141,55,25
142,55,25
145,57,25
147,57,27
144,57,26
143,55,24
143,55,25
144,58,28
144,58,27
144,57,27
144,57,26
145,57,27
144,54,24
143,55,25
143,55,24
142,54,23
143,56,27
143,55,24
142,55,25
144,54,24
142,56,27
142,57,26
145,57,25
142,56,25
146,57,26
142,55,25
143,56,26
145,57,26
143,55,25
142,55,25
141,55,27
142,55,26
141,55,23
143,55,25
141,54,25
144,56,25
146,57,26
145,57,27
144,56,25
141,57,27
141,55,25
144,57,27
141,56,24
145,57,27
143,55,24
144,55,26
144,57,25
144,55,24
142,56,24
141,54,23
142,55,23
142,56,26
140,56,22
144,55,26
141,55,23
143,55,24
141,54,25
139,53,23
146,57,23
144,57,26
142,56,26
144,56,25
144,56,25
142,54,24
141,55,26
143,55,24
142,56,26
143,56,26
144,57,27
145,56,26
143,55,26
142,56,26
144,56,25
145,57,25
144,57,26
142,55,25
143,55,24
145,57,25
142,55,25
143,58,24
143,55,24
143,55,26
140,56,25
141,55,23
142,56,26
142,56,26
143,57,26
142,55,26
144,56,26
141,54,23
143,56,27
146,57,26
142,56,26
141,54,25
144,57,27
142,54,24
145,57,27
142,54,25
141,55,25
144,56,26
142,55,26
144,57,26
143,54,25
142,55,26
141,54,24
145,57,26
145,57,26
141,54,24
143,56,25
142,55,26
143,56,26
144,55,24
142,56,26
144,57,26
142,56,26
143,57,26
143,55,24
143,55,25
142,55,25
143,56,23
146,56,26
143,56,24
144,57,26
145,57,26
141,54,23
142,55,26
143,55,23
143,54,25
144,57,26
142,56,26
145,57,26
145,57,26
143,55,24
141,54,24
142,56,26
143,57,27
142,54,27
141,56,25
143,56,26
142,55,25
142,55,25
145,57,26
143,56,24
145,56,25
142,55,26
142,55,25
144,55,24
139,56,23
143,55,23
144,57,26
144,54,27
143,56,26
142,54,25
143,56,25
144,55,24
142,55,25
144,57,26
144,57,25
142,56,26
144,55,24
142,57,26
144,57,26
143,55,25
142,55,25
144,57,26
144,58,26
143,55,26
142,56,25
145,57,26
143,56,26
144,56,25
143,55,25
144,57,27
144,57,26
142,56,26
142,57,26
144,57,27
143,55,30
147,55,25
143,55,24
142,56,26
140,55,25
144,57,25
143,55,24
142,57,26
142,56,27
143,54,24
144,57,27
143,56,26
141,56,24
140,55,24
142,55,26
143,55,26
142,54,27
143,59,25
144,57,27
143,53,26
145,56,25
142,54,25
147,58,28
144,57,26
142,54,25
142,52,23
142,55,24
144,57,26
144,57,27
143,54,25
142,56,26
143,56,24
144,57,25
141,55,26
143,56,24
142,54,25
144,57,27
141,54,24
144,57,24
142,56,25
144,58,26
141,55,25
144,57,25
141,55,25
144,57,29
145,57,26
142,55,26
147,57,27
